OrthoSymbol	africanFrog	americanAlligator	americanEel	axolotl	bambooShark	barnOwl	beardedDragon	blindMoleRat	brownRat	budgerigar	canary	cat	catshark	chicken	cod	commonBuzzard	commonKestrel	cow	crabMacaque	daubentonBat	dog	eagleOwl	egyptianBat	emu	flavescentPeacockFish	garterSnake	giltheadBream	goldenEagle	gosHwak	greenAnole	groundBoa	groundSquirrel	harpyEagle	hawaiianCrow	honeyguide	hoodedCrow	horse	human	japaneseGecko	labMouse	littleOwl	mallardDuck	marmoset	minkeWhale	mousebird	nancymaMonkey	northernPike	oceanJacket	oldwife	oliveBaboon	opossum	orientalScopsOwl	ostrich	peregrineFalcon	pig	pigeon	quail	redStingray	rhesusMacaque	roundleafBat	sacwingedBat	sandRat	sparrowHawk	spottedGar	sunangel	tawnyOwl	tuna	uralOwl	westernFrog	whiteWagtail	yangtzeCatfish	zebraShark	zebrafinch	zebrafish
C6orf136	c6orf136.L,c6orf136.S	C11H6orf136	LOC135264595,c8h6orf136	C13H6orf136	c30h6orf136		CUNH6orf136	CUNH6orf136	C20h6orf136	C28H6orf136	C25H6orf136	CB2H6orf136	c14h6orf136		c22h6orf136	C32H6orf136		C23H6orf136	C4H6orf136	C6H6orf136	C12H6orf136		CUNH6orf136		c11h6orf136	LOC106542993	c3h6orf136	CUNH6orf136	C36H6orf136	c2h6orf136	C2H6orf136	CUNH6orf136		C31H6orf136			C20H6orf136	C6orf136	LOC107111812	2310061I04Rik		C17H6orf136	C4H6orf136	C10H6orf136		CUNH6orf136	c10h6orf136	cunh6orf136	c16h6orf136	C6H6orf136	C2H6orf136		C36H6orf136	C21H6orf136	C7H6orf136	C32H6orf136	CUNH6orf136	c2h6orf136	C4H6orf136	CUNH6orf136	C1H6orf136	CUNH6orf136	ENSANIG00000010011				c19h6orf136	CUNH6orf136	c6orf136	CUNH6orf136	c29h6orf136	c34h6orf136	C35H6orf136	si_ch211-215a10.4
CATIP	catip.L	CATIP	catip	CATIP	catip	LOC116959632	CATIP	Catip	Catip	CATIP	CATIP	CATIP	catip	CATIP	LOC115548809,catip	CATIP	ENSFTIG00000011982	CATIP	CATIP	CATIP	CATIP		LOC107516725	CATIP	catip		catip	LOC115343366	CATIP	catip	CATIP	LOC101958208	CATIP	LOC125328592	CATIP	LOC104693974	CATIP	CATIP	CATIP	Catip	CATIP	CATIP	CATIP	CATIP	CATIP	CATIP	catip	catip	catip	CATIP	CATIP	ENSOSUG00000001220		CATIP	CATIP			catip	CATIP	CATIP	CATIP	Catip	ENSANIG00000014560	catip	CATIP		LOC122994109		catip	LOC119703121	LOC124391451	catip	CATIP	catip
CHURC1	churc1.S	CHURC1	churc1	CHURC1	churc1	CHURC1	CHURC1	Churc1	Churc1	CHURC1	CHURC1	CHURC1	churc1	CHURC1	churc1	CHURC1	ENSFTIG00000008914	CHURC1	CHURC1	CHURC1	CHURC1		CHURC1		churc1	CHURC1	churc1	CHURC1	CHURC1	churc1	CHURC1	Churc1		CHURC1	CHURC1	CHURC1	CHURC1	CHURC1		Churc1	CHURC1	CHURC1	CHURC1	CHURC1	CHURC1	CHURC1	churc1	churc1	churc1	CHURC1	CHURC1			CHURC1	CHURC1	CHURC1		churc1	CHURC1	CHURC1	CHURC1	Churc1	ENSANIG00000015914	churc1	CHURC1	CHURC1	churc1	CHURC1	churc1	CHURC1	churc1	churc1	CHURC1	churc1
CTNNBIP1	ctnnbip1.L,ctnnbip1.S	CTNNBIP1	LOC135235365,LOC135237617	CTNNBIP1	ctnnbip1	CTNNBIP1	CTNNBIP1		Ctnnbip1	CTNNBIP1	CTNNBIP1	CTNNBIP1	ctnnbip1	CTNNBIP1	ctnnbip1	CTNNBIP1	ENSFTIG00000005644	CTNNBIP1	CTNNBIP1			ENSBOBG00000013426	CTNNBIP1	CTNNBIP1	ctnnbip1		ctnnbip1	CTNNBIP1	CTNNBIP1	ctnnbip1	CTNNBIP1		CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	Ctnnbip1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	ctnnbip1	ctnnbip1	ctnnbip1	CTNNBIP1	CTNNBIP1	ENSOSUG00000015840	CTNNBIP1	CTNNBIP1		CTNNBIP1	CTNNBIP1	ctnnbip1	CTNNBIP1	CTNNBIP1	CTNNBIP1	Ctnnbip1	ENSANIG00000012097	ctnnbip1	CTNNBIP1	CTNNBIP1	ctnnbip1	CTNNBIP1	ctnnbip1			ctnnbip1	CTNNBIP1	ctnnbip1
EREG	ereg.L,ereg.S	EREG	LOC135233505	EREG	LOC140485553	EREG	EREG	Ereg	Ereg	LOC101880235	EREG	EREG	LOC140409465	EREG	epgn	EREG	ENSFTIG00000010576	EREG	EREG	EREG	EREG	ENSBOBG00000008526	EREG	EREG	LOC115785931	LOC106543057	LOC115581561	EREG	EREG	ereg	LOC134495173	Ereg	EREG	EREG	EREG		EREG	EREG	LOC107125678	Ereg		EREG	EREG	EREG	EREG	EREG	LOC105008249	LOC142893129	LOC139284759	EREG	EREG	ENSOSUG00000007813	EREG	EREG	EREG		EREG		EREG	EREG	EREG	Ereg	ENSANIG00000003477	LOC102685644	EREG	EREG	LOC122999634	EREG	ereg	EREG		LOC125460863		
ITPRIPL2	itpripl2.L,itpripl2.S	ITPRIPL2	LOC135248295	ITPRIPL2	itpripl2	ITPRIPL2	ITPRIPL2	Itpripl2	Itpripl2	ITPRIPL2	ITPRIPL2	ITPRIPL2	itpripl2	ITPRIPL2	itpripl2	ITPRIPL2	ENSFTIG00000015540	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2		ITPRIPL2	ITPRIPL2		ITPRIPL2		ITPRIPL2	ITPRIPL2	itpripl2	ITPRIPL2	Itpripl2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2		Itpripl2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	LOC105013185			ITPRIPL2	ITPRIPL2	ENSOSUG00000001086	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	ITPRIPL2	itpripl2	ITPRIPL2	ITPRIPL2	ITPRIPL2	Itpripl2	ENSANIG00000004415	LOC102682795	ITPRIPL2	ITPRIPL2		ITPRIPL2	itpripl2	ITPRIPL2	LOC124396330	LOC125462498	ITPRIPL2	itpripl2
PANX3	panx3.L,panx3.S	PANX3		PANX3	LOC140493980	PANX3	PANX3	Panx3	Panx3	PANX3	PANX3	PANX3	LOC140398313	PANX3	LOC115548003	PANX3	PANX	PANX3	PANX3	PANX3		PANX	PANX3	PANX3	LOC115792447	PANX3	LOC115593562	PANX3	PANX3	panx3	PANX3	Panx3	PANX3	PANX3	PANX3	PANX3	PANX3	PANX3	PANX3	Panx3	PANX3	PANX3	PANX3	PANX3	PANX3	PANX3	panx3		LOC139295172	PANX3	PANX3	PANX	PANX3	PANX3	PANX3	PANX3	PANX3	LOC140716764	PANX3	PANX3	PANX3	Panx3	PANX		PANX3	PANX3		PANX3	panx3	PANX3		LOC125466875	PANX3	
PIH1D2	pih1d2.L	PIH1D2	pih1d2	PIH1D2	LOC140494161	PIH1D2	PIH1D2	Pih1d2	Pih1d2	PIH1D2		PIH1D2	LOC140398210	PIH1D2	pih1d2	PIH1D2	ENSFTIG00000008288	PIH1D2	PIH1D2	PIH1D2	PIH1D2	ENSBOBG00000007214	PIH1D2	PIH1D2	pih1d2	PIH1D2	pih1d2	PIH1D2	PIH1D2	pih1d2	PIH1D2	Pih1d2	PIH1D2		PIH1D2		PIH1D2	PIH1D2	PIH1D2	Pih1d2	PIH1D2	PIH1D2	PIH1D2	PIH1D2	PIH1D2	PIH1D2	pih1d2	pih1d2	pih1d2	PIH1D2	PIH1D2	ENSOSUG00000004307	PIH1D2	PIH1D2	PIH1D2	PIH1D2	PIH1D2		PIH1D2	PIH1D2	PIH1D2	Pih1d2	ENSANIG00000002804	LOC102682470	PIH1D2	PIH1D2	pih1d2	PIH1D2	pih1d2		pih1d2	pih1d2		pih1d2
PRADC1	pradc1.L	PRADC1	LOC135233467	PRADC1	LOC140481603	PRADC1	PRADC1	Pradc1	Pradc1	PRADC1	PRADC1	PRADC1	LOC140409335	PRADC1	LOC115553702	PRADC1	ENSFTIG00000002783	PRADC1	PRADC1	PRADC1	PRADC1	ENSBOBG00000014398	PRADC1	PRADC1	LOC115785897		LOC115582360	PRADC1	PRADC1	pradc1	PRADC1	Pradc1	PRADC1	PRADC1	PRADC1	PRADC1	PRADC1	PRADC1	PRADC1	Pradc1	PRADC1	PRADC1	PRADC1	PRADC1	PRADC1	PRADC1			LOC139284555	PRADC1	PRADC1	ENSOSUG00000015298	PRADC1	PRADC1	PRADC1	PRADC1	PRADC1	LOC140726107	PRADC1	PRADC1	PRADC1	Pradc1	ENSANIG00000006507	LOC102689442	PRADC1	PRADC1	LOC122999402	PRADC1	pradc1	PRADC1			PRADC1	
RAB29	rab29.S	RAB29		RAB29	LOC140467423	RAB29	RAB29	Rab29	Rab29	RAB29		RAB29	LOC140393705	RAB7L1	LOC115560076	RAB29	ENSFTIG00000002252	RAB29	RAB29	RAB29	RAB29	ENSBOBG00000010604	RAB29	RAB29	LOC115782889	RAB29	LOC115584433	RAB29	RAB29	rab29	RAB29	Rab29	RAB29	RAB29	RAB29	RAB29	RAB29	RAB29	RAB29	Rab29	RAB29	RAB29	RAB29	RAB29	RAB29	RAB29			LOC139288906	RAB29	RAB29	ENSOSUG00000000049	RAB29	RAB29	RAB29	RAB29	RAB29	LOC140717310	RAB29	RAB29	RAB29	Rab29	ENSANIG00000010918	LOC102698742	RAB29	RAB29	LOC122982651	RAB29	rab29	RAB29		LOC125462990	RAB29	
SETX	setx.L	SETX	setx	SETX	setx	SETX	SETX	Setx	Setx	SETX	SETX	SETX	setx	SETX		SETX	ENSFTIG00000005740	SETX	SETX	SETX	SETX	ENSBOBG00000006995	SETX	SETX		SETX		SETX	SETX	setx	SETX	Setx	SETX	SETX	SETX	SETX	SETX	SETX	SETX	Setx	SETX	SETX	SETX	SETX	SETX	SETX	LOC105010158,setx			SETX	SETX	ENSOSUG00000010098	SETX	SETX	SETX	SETX		setx	SETX	SETX	SETX	Setx	ENSANIG00000013587	setx	SETX	SETX		SETX	setx	SETX	setx	setx	SETX	setx
SUOX	suox.L,suox.S		suox	SUOX	suox	SUOX	SUOX	Suox	Suox	SUOX	SUOX	SUOX	suox	SUOX	suox	SUOX	ENSFTIG00000002867	SUOX	SUOX	SUOX	SUOX		SUOX	SUOX	suox	SUOX	suox	SUOX	SUOX	suox	SUOX	Suox	SUOX	SUOX			SUOX	SUOX	SUOX	Suox	SUOX	SUOX	SUOX	SUOX	SUOX	SUOX	suox	suox	suox	SUOX	SUOX	ENSOSUG00000002764	SUOX		SUOX	SUOX	SUOX	suox	SUOX	SUOX	SUOX	Suox	ENSANIG00000005843	suox		SUOX	suox	SUOX	suox		suox	suox	SUOX	suox
SYNM	synm.L,synm.S	SYNM	synm	SYNM		SYNM	SYNM	Synm	Synm	SYNM	SYNM	SYNM		SYNM	synm	SYNM	ENSFTIG00000001304	SYNM	SYNM	SYNM	SYNM	ENSBOBG00000005222	SYNM	SYNM		SYNM		SYNM	SYNM	synm	SYNM	Synm	SYNM	SYNM	SYNM	SYNM	SYNM	SYNM	SYNM	Synm	SYNM	SYNM	SYNM	SYNM	SYNM	SYNM			synm	SYNM	SYNM	ENSOSUG00000013376	SYNM	SYNM	SYNM	SYNM	SYNM	synm	SYNM	SYNM	SYNM	Synm	ENSANIG00000008536	synm	SYNM	SYNM		SYNM	synm	SYNM			SYNM	synm
TBCEL	tbcel.L,tbcel.S		tbcelb	TBCEL		TBCEL	TBCEL	Tbcel	Tbcel	TBCEL	TBCEL		LOC140398080	TBCEL	tbcela,tbcelb	TBCEL	ENSFTIG00000006859	TBCEL		TBCEL		ENSBOBG00000006982			LOC115792027,tbcela	TBCEL	tbcela,tbcelb	TBCEL	TBCEL		TBCEL		TBCEL	TBCEL	TBCEL	TBCEL	TBCEL	TBCEL	TBCEL	Tbcel	TBCEL	TBCEL		TBCEL	TBCEL		LOC105024122	LOC142882113,tbcela	LOC139294956,tbcela	TBCEL	TBCEL	ENSOSUG00000002362	TBCEL	TBCEL		TBCEL	TBCEL	LOC140716843	TBCEL	TBCEL	TBCEL	Tbcel	ENSANIG00000011850	tbcela	TBCEL	TBCEL	LOC122984121	TBCEL	tbcel	TBCEL	tbcela		TBCEL	tbcela,tbcelb
TEX36	tex36.S	TEX36		TEX36	LOC140463508	TEX36	TEX36	Tex36	Tex36	TEX36	TEX36	TEX36	tex36	TEX36	tex36	TEX36		TEX36	TEX36	TEX36	TEX36		TEX36	TEX36	tex36	TEX36	tex36	TEX36	TEX36	tex36	TEX36	Tex36		TEX36	TEX36	TEX36	TEX36	TEX36		Tex36	TEX36	TEX36	TEX36	TEX36	TEX36	TEX36	tex36	tex36	tex36	TEX36	TEX36	ENSOSUG00000000203	TEX36	TEX36	TEX36	TEX36	TEX36	LOC140715100	TEX36	TEX36	TEX36	Tex36	ENSANIG00000006963	tex36	TEX36	TEX36	tex36		tex36	TEX36	tex36		TEX36	tex36
TMEM101	tmem101.L,tmem101.S	TMEM101	tmem101	TMEM101	tmem101		TMEM101	Tmem101	Tmem101	TMEM101	TMEM101	TMEM101	tmem101	TMEM101	tmem101	TMEM101	ENSFTIG00000002471	TMEM101	TMEM101	TMEM101	TMEM101		TMEM101	TMEM101	tmem101	TMEM101	tmem101	TMEM101	TMEM101	tmem101	TMEM101	Tmem101	TMEM101	TMEM101		TMEM101	TMEM101	TMEM101	TMEM101	Tmem101		TMEM101	TMEM101	TMEM101	TMEM101	TMEM101	tmem101	tmem101	tmem101	TMEM101	TMEM101	ENSOSUG00000011181	TMEM101	TMEM101	TMEM101	TMEM101	TMEM101	tmem101	TMEM101	TMEM101	TMEM101	Tmem101		tmem101		TMEM101	tmem101	TMEM101	tmem101		tmem101	tmem101	TMEM101	tmem101
TMEM221	tmem221.L,tmem221.S	TMEM221	tmem221	TMEM221	tmem221	TMEM221	TMEM221	Tmem221	Tmem221	TMEM221		TMEM221	tmem221	TMEM221	tmem221	TMEM221	ENSFTIG00000007189	TMEM221	TMEM221	TMEM221	TMEM221	ENSBOBG00000009138	TMEM221	TMEM221	tmem221		tmem221	TMEM221	TMEM221	tmem221	TMEM221	Tmem221	TMEM221	TMEM221	TMEM221		TMEM221	TMEM221	TMEM221	Tmem221	TMEM221	TMEM221	TMEM221	TMEM221	TMEM221	TMEM221	tmem221	tmem221	tmem221	TMEM221	TMEM221		TMEM221	TMEM221	TMEM221		TMEM221	tmem221	TMEM221	TMEM221	TMEM221	Tmem221	ENSANIG00000011060	tmem221	TMEM221	TMEM221	tmem221	TMEM221	tmem221	TMEM221		tmem221		tmem221
HHLA1		HHLA1	LOC135260322		LOC140476743	LOC104368698	HHLA1	Hhla1	AABR07058254.1	HHLA1	HHLA1	HHLA1	LOC140386018	HHLA1		HHLA1	ENSFTIG00000006856	HHLA1	HHLA1	HHLA1	HHLA1	ENSBOBG00000005341	HHLA1	HHLA1	hhla1		hhla1	LOC115340630	HHLA1		HHLA1	Hhla1	LOC128142366	HHLA1	HHLA1	HHLA1	HHLA1	HHLA1		Hhla1	HHLA1	HHLA1	HHLA1	HHLA1	HHLA1	HHLA1	LOC105023651	hhla1	LOC139297111	HHLA1	HHLA1	ENSOSUG00000007027	HHLA1	HHLA1	HHLA1	HHLA1	HHLA1	LOC140726656	HHLA1	HHLA1	HHLA1	Hhla1	ENSANIG00000011015	LOC107078283	HHLA1	HHLA1	LOC122993489	HHLA1		HHLA1	LOC124403405	LOC125451604	HHLA1	hhla1
TNFRSF9		TNFRSF9	LOC135237697,tnfrsf9a	TNFRSF9		TNFRSF9	TNFRSF9	Tnfrsf9	Tnfrsf9	TNFRSF9	TNFRSF9	TNFRSF9		TNFRSF9	tnfrsf9a	TNFRSF9	ENSFTIG00000011796	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9		TNFRSF9	TNFRSF9	tnfrsf9a	LOC106556563	tnfrsf9a	TNFRSF9	TNFRSF9	tnfrsf9		Tnfrsf9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9		Tnfrsf9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	tnfrsf9a	tnfrsf9a	LOC139289519	TNFRSF9	TNFRSF9	ENSOSUG00000000303	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9		TNFRSF9	TNFRSF9	TNFRSF9	Tnfrsf9	ENSANIG00000006181	tnfrsf9b		TNFRSF9	LOC122982233	TNFRSF9		TNFRSF9	tnfrsf9b		TNFRSF9	tnfrsf9a,tnfrsf9b
TNFRSF18	LOC108696518,LOC108697968	TNFRSF18	LOC135238379	TNFRSF18	LOC140486845	TNFRSF18	TNFRSF18	Tnfrsf18	Tnfrsf18	TNFRSF18		TNFRSF18	LOC140392645	TNFRSF18		TNFRSF18	ENSFTIG00000011737	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	ENSBOBG00000013793	TNFRSF18	TNFRSF18	tnfrsf18		tnfrsf18			tnfrsf18	TNFRSF18	Tnfrsf18		TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18		Tnfrsf18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18		TNFRSF18	tnfrsf18	LOC142882190,tnfrsf18	tnfrsf18	TNFRSF18	TNFRSF18	ENSOSUG00000008308	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	TNFRSF18	LOC140718386	TNFRSF18	TNFRSF18	TNFRSF18	Tnfrsf18	ENSANIG00000008522	LOC107075526	TNFRSF18	TNFRSF18	tnfrsf18	TNFRSF18		TNFRSF18	tnfrsf18	LOC125466694	TNFRSF18	tnfrsf18
PRPH	prph.L,prph.S	PRPH	LOC135234493,LOC135238025	LOC138582486	LOC140471115	PRPH	PRPH	Prph	Prph	PRPH	PRPH	PRPH	LOC140405400	PRPH	prph	PRPH		PRPH	PRPH	PRPH	PRPH		PRPH	PRPH	prph	PRPH	prph		PRPH	prph	PRPH	Prph	PRPH	PRPH	PRPH		PRPH	PRPH	PRPH	Prph	PRPH	PRPH	PRPH	PRPH	PRPH	PRPH	prph	prph	prph	PRPH	PRPH		PRPH		PRPH	LOC102093721	PRPH	LOC140741156	PRPH	PRPH	PRPH	Prph		prph	PRPH		prph	PRPH	prph		prph	LOC125448359	PRPH	prph
R3HDML	r3hdml.L	R3HDML	r3hdml	R3HDML	LOC140463012	R3HDML	R3HDML	R3hdml	R3hdml	R3HDML	R3HDML	R3HDML	LOC140428396	R3HDML		R3HDML	ENSFTIG00000001063	R3HDML	R3HDML	R3HDML	R3HDML	ENSBOBG00000004537	R3HDML	R3HDML		R3HDML	r3hdml	R3HDML	R3HDML	r3hdml	R3HDML	R3hdml	R3HDML	R3HDML	R3HDML	R3HDML	R3HDML	R3HDML	R3HDML	R3hdml	R3HDML	R3HDML		R3HDML	R3HDML		r3hdml		r3hdml	R3HDML		ENSOSUG00000011028	R3HDML	R3HDML	R3HDML	R3HDML	R3HDML		R3HDML	R3HDML	R3HDML	R3hdml	ENSANIG00000007291	r3hdml		R3HDML	r3hdml	R3HDML	r3hdml	R3HDML	r3hdml	LOC125461340	R3HDML	r3hdml
TLE2		LOC102570101	LOC135254082,tle2b	LOC138569831	LOC140494706	TLE2	TLE2	Tle2	Tle2		LOC103821937	TLE2	LOC140394923	LOC100858505		TLE2		TLE2	TLE2	TLE2	TLE2		TLE2	TLE2	tle2b	LOC106549770	tle2b	TLE2	TLE2	tle2	LOC134487499	Tle2	TLE2	TLE2	TLE2	TLE2	TLE2	TLE2	TLE2	Tle2	LOC141970834	TLE2	TLE2	TLE2		TLE2	tle2b	tle2b	tle2b	TLE2	LOC100026188	ENSOSUG00000010217	TLE2	TLE2	TLE2			LOC140739785	TLE2	TLE2	TLE2	Tle2	ENSANIG00000000853	tle2b	TLE2	TLE2	tle2b	TLE2		TLE2	tle2b	LOC125465812	TLE2	tle2b
SDC1	LOC108718258,sdc1.L	SDC1	LOC135236802,LOC135257202	SDC1		SDC1	SDC1	Sdc1	Sdc1	SDC1	SDC1	SDC1		SDC1		SDC1	ENSFTIG00000007131	SDC1	SDC1	SDC1	SDC1	ENSBOBG00000007768	SDC1	SDC1		LOC106543676	LOC115573649	SDC1	SDC1	sdc1	SDC1	Sdc1	SDC1	SDC1	SDC1	SDC1	SDC1	SDC1	SDC1	Sdc1	SDC1	SDC1	SDC1	SDC1	SDC1	SDC1	LOC105015354		LOC139302401	SDC1	SDC1	ENSOSUG00000004507	SDC1	SDC1	SDC1	SDC1	SDC1		SDC1	SDC1	SDC1	Sdc1	ENSANIG00000002314	LOC102686252	SDC1	SDC1		SDC1	sdc1	SDC1	LOC124390495		SDC1	
RSPO4		RSPO4	rspo4	RSPO4	LOC140462765	RSPO4	RSPO4	Rspo4	Rspo4	RSPO4	RSPO4	RSPO4		RSPO4	rspo4	RSPO4	ENSFTIG00000002188	RSPO4	RSPO4	RSPO4	RSPO4		RSPO4	RSPO4	rspo4	LOC106552100	rspo4	RSPO4	RSPO4	rspo4	RSPO4	Rspo4	RSPO4	RSPO4	RSPO4	RSPO4	RSPO4	RSPO4	LOC107115061	Rspo4	RSPO4	RSPO4	RSPO4	RSPO4	RSPO4	RSPO4			rspo4	RSPO4	RSPO4	ENSOSUG00000011354	RSPO4	RSPO4	RSPO4	RSPO4	RSPO4	LOC140736268	RSPO4	RSPO4	RSPO4	Rspo4	ENSANIG00000011951	rspo4	RSPO4	RSPO4	rspo4	RSPO4		RSPO4		LOC125461564	RSPO4	rspo4
GPR3		GPR3	gpr3	GPR3	gpr3	GPR3	GPR3	Gpr3	Gpr3	GPR3	GPR3	GPR3	LOC140411547			GPR3	ENSFTIG00000013771	GPR3	GPR3	GPR3	GPR3	ENSBOBG00000009042	GPR3	GPR3	gpr3	LOC106548275	gpr3	GPR3	GPR3	gpr3	GPR3	Gpr3	GPR3	GPR3	GPR3		GPR3	GPR3	GPR3	Gpr3	GPR3	GPR3	GPR3	GPR3	GPR3	GPR3	gpr186	gpr3	gpr3	GPR3	GPR3	ENSOSUG00000008708	GPR3	GPR3	GPR3	GPR3		LOC140715552	GPR3	GPR3	GPR3	Gpr3	ENSANIG00000005692	gpr3	GPR3	GPR3	gpr186	GPR3		GPR3	gpr3	LOC125465067		gpr3
SOX12	sox12.L,sox12.S	SOX12	sox12	SOX12	sox12	SOX12	SOX12	Sox12	Sox12	SOX12	SOX12	SOX12	LOC140428596	SOX12		SOX12	ENSFTIG00000000754	SOX12	SOX12	SOX12	SOX12		SOX12	SOX12		SOX12		SOX12	SOX12	sox12	SOX12		SOX12	SOX12	SOX12	SOX12	SOX12	SOX12	SOX12	Sox12	SOX12	SOX12	SOX12	SOX12	SOX12	SOX12	sox12			SOX12	SOX12	ENSOSUG00000000108	SOX12	SOX12	SOX12	SOX12	SOX12	sox12	SOX12	SOX12	SOX12	Sox12	ENSANIG00000011840	sox12	SOX12	SOX12		SOX12	LOC116407953	SOX12	sox12	sox12	SOX12	sox12
SP7	sp7.L,sp7.S	SP7	sp7	SP7		SP7	SP7	Sp7	Sp7	SP7		SP7	LOC140405764	SP7	sp7	SP7	ENSFTIG00000002764	SP7	SP7	SP7	SP7		SP7	SP7	sp7	SP7	sp7	SP7	SP7	sp7	SP7	Sp7	SP7	SP7			SP7	SP7	SP7	Sp7	LOC141971824	SP7	SP7	SP7		SP7	sp7	sp7	sp7	SP7	SP7	ENSOSUG00000002751	SP7	SP7	SP7	SP7	SP7		SP7	SP7	SP7	Sp7	ENSANIG00000017970	sp7	SP7		sp7	SP7	sp7	SP7	sp7		SP7	sp7
LPXN		LPXN	lpxn	LPXN	LOC140468571	LPXN	LPXN	Lpxn	Lpxn	LPXN	LPXN	LPXN	LOC140410293	LPXN	lpxn	LPXN	ENSFTIG00000003705	LPXN	LPXN	LPXN	LPXN		LPXN	LPXN	lpxn	LPXN	lpxn	LPXN	LPXN	lpxn	LPXN	Lpxn	LPXN	LPXN	LPXN	LPXN	LPXN	LPXN	LPXN	Lpxn	LPXN	LPXN	LPXN	LPXN		LPXN	lpxn	lpxn	lpxn	LPXN	LPXN	ENSOSUG00000007381		LPXN	LPXN	LPXN	LPXN		LPXN	LPXN	LPXN	Lpxn	ENSANIG00000014035	lpxn		LPXN	lpxn	LPXN		LPXN	lpxn	LOC125449503	LPXN	lpxn
GIPC3	LOC121393212,gipc3.S	GIPC3	LOC135252251,LOC135256861	GIPC3	gipc3	GIPC3	GIPC3	Gipc3	Gipc3	GIPC3	GIPC3	GIPC3	LOC140394788	GIPC3	gipc3	GIPC3		GIPC3		GIPC3	GIPC3			GIPC3	gipc3	LOC106554641	gipc3	GIPC3	GIPC3	gipc3	GIPC3	Gipc3	GIPC3	GIPC3	GIPC3	GIPC3	GIPC3	GIPC3	GIPC3	Gipc3	GIPC3	GIPC3		GIPC3			gipc3	gipc3	gipc3	GIPC3	GIPC3	ENSOSUG00000012479	GIPC3	GIPC3		GIPC3	GIPC3	LOC140740341	GIPC3	GIPC3	GIPC3		ENSANIG00000003316	gipc3	GIPC3	GIPC3	gipc3	GIPC3	gipc3	GIPC3	gipc3	LOC125465648	GIPC3	gipc3
FAM174B	fam174b.L,fam174b.S	FAM174B		FAM174B	fam174b	FAM174B		Fam174b	Fam174b	FAM174B	FAM174B	FAM174B	fam174b	FAM174B	fam174b	FAM174B	ENSFTIG00000002724	FAM174B	FAM174B	FAM174B	FAM174B		FAM174B	FAM174B	fam174b	FAM174B	fam174b	FAM174B	FAM174B	fam174b	FAM174B		FAM174B	FAM174B	FAM174B	FAM174B	FAM174B	FAM174B	FAM174B	Fam174b	FAM174B	FAM174B	FAM174B	FAM174B	FAM174B	FAM174B		fam174b	fam174b	FAM174B	FAM174B		FAM174B	FAM174B	FAM174B	FAM174B	FAM174B	fam174b	FAM174B	FAM174B	FAM174B	Fam174b	ENSANIG00000002457	fam174b	FAM174B	FAM174B	fam174b	FAM174B	fam174b	FAM174B			FAM174B	fam174b
OSR2	osr2.L,osr2.S	OSR2	osr2	OSR2	osr2	OSR2		Osr2	Osr2	OSR2	OSR2	OSR2		OSR2	osr2	OSR2	ENSFTIG00000015151	OSR2	OSR2	OSR2	OSR2	ENSBOBG00000006591	OSR2	OSR2	osr2		osr2	OSR2	OSR2			Osr2	OSR2	OSR2	OSR2	OSR2	OSR2	OSR2		Osr2	OSR2	OSR2	OSR2	OSR2	OSR2	OSR2	osr2	osr2	osr2	OSR2	OSR2	ENSOSUG00000004629	OSR2	OSR2	OSR2	OSR2	OSR2		OSR2	OSR2	OSR2	Osr2	ENSANIG00000007469	osr2	OSR2	OSR2	osr2	OSR2	osr2	OSR2	osr2	osr2	OSR2	
